Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Risk
22,female,2,own,little,moderate,48,radio/TV,High
45,male,2,free,little,little,42,furniture/equipment,High
53,male,2,free,little,little,24,car,High
35,male,3,rent,little,moderate,36,car,High
28,male,3,own,little,moderate,30,car,High
25,female,2,rent,little,moderate,12,car,Low
24,female,2,rent,little,little,48,business,High
22,female,2,own,little,moderate,12,radio/TV,Low
60,male,1,own,little,little,24,car,Low
28,female,2,rent,little,little,15,car,Low
32,female,1,own,moderate,little,24,radio/TV,Low
44,female,3,free,little,moderate,24,car,High
44,male,2,rent,quite rich,little,6,radio/TV,High
48,male,1,rent,little,little,10,car,Low
44,male,2,own,moderate,moderate,12,car,Low
36,male,1,own,little,little,6,furniture/equipment,Low
42,female,2,rent,rich,rich,12,radio/TV,Low
34,male,2,own,little,moderate,7,radio/TV,High
63,male,2,own,little,little,60,business,High
36,male,2,own,rich,moderate,18,business,Low
27,male,2,own,little,little,24,furniture/equipment,High
30,male,2,own,moderate,moderate,18,car,High
33,female,3,own,little,rich,12,furniture/equipment,Low
25,male,1,own,little,moderate,45,radio/TV,High
37,male,2,own,little,rich,18,radio/TV,Low
37,male,2,own,little,rich,10,domestic appliances,Low
24,male,2,own,little,moderate,9,radio/TV,Low
26,male,2,own,quite rich,moderate,12,radio/TV,Low
44,male,1,own,little,moderate,18,repairs,High
24,male,2,rent,moderate,little,30,car,High
58,female,1,free,little,little,48,car,High
23,female,0,rent,quite rich,little,6,car,Low
30,male,3,own,little,moderate,27,car,High
57,male,2,free,little,moderate,36,car,Low
23,female,3,own,little,rich,18,car,Low
23,female,1,rent,little,little,36,furniture/equipment,High
27,male,2,own,little,moderate,9,business,Low
61,male,3,free,little,moderate,36,business,Low
25,male,2,own,little,moderate,48,business,High
22,male,2,own,rich,moderate,12,car,Low
51,male,3,free,little,little,8,vacation/others,Low
41,female,1,own,little,moderate,42,business,High
66,male,3,free,little,little,12,car,Low
34,male,2,own,little,little,42,radio/TV,High
51,male,2,own,little,moderate,11,radio/TV,High
22,male,2,own,little,moderate,30,furniture/equipment,High
58,female,1,own,little,little,24,vacation/others,Low
52,male,1,own,little,little,10,radio/TV,Low
27,female,2,own,little,moderate,18,furniture/equipment,Low
47,male,2,free,moderate,moderate,36,education,High
30,male,3,own,moderate,little,18,car,Low
28,male,2,own,little,little,12,repairs,Low
54,male,2,own,little,little,12,car,Low
54,male,2,own,rich,moderate,12,car,Low
58,male,2,rent,little,moderate,54,business,High
34,male,2,own,moderate,moderate,18,business,High
36,male,2,own,little,moderate,36,radio/TV,High
24,male,2,rent,little,moderate,36,radio/TV,Low
35,male,2,rent,little,moderate,9,furniture/equipment,Low
39,male,3,own,little,moderate,24,vacation/others,High
32,male,2,own,little,moderate,12,car,High
35,male,2,own,quite rich,moderate,14,business,Low
31,male,2,own,moderate,moderate,6,business,Low
23,female,2,rent,little,rich,15,education,Low
28,male,1,rent,little,moderate,18,car,High
35,male,2,own,quite rich,little,12,radio/TV,Low
23,female,2,own,quite rich,little,33,furniture/equipment,High
36,male,3,own,quite rich,moderate,12,car,High
25,female,2,own,little,little,21,radio/TV,Low
63,male,2,free,little,rich,10,car,Low
30,male,2,own,little,little,12,car,Low
40,male,1,own,little,little,12,radio/TV,Low
30,male,2,own,little,moderate,12,repairs,Low
34,male,3,own,little,moderate,12,car,Low
29,female,2,own,little,little,12,car,High
29,male,2,own,little,little,36,education,High
66,male,1,own,quite rich,moderate,12,radio/TV,Low
44,female,1,rent,little,rich,12,radio/TV,Low
27,male,0,own,rich,rich,6,car,Low
30,female,3,own,little,moderate,36,radio/TV,High
27,male,3,own,little,little,27,radio/TV,High
22,male,2,own,little,little,18,furniture/equipment,High
30,male,2,own,moderate,moderate,48,business,High
39,female,2,own,little,little,6,car,Low
28,male,2,own,little,little,36,furniture/equipment,High
24,male,2,own,little,rich,36,radio/TV,High
29,female,2,rent,rich,moderate,24,car,High
36,male,3,rent,moderate,moderate,24,business,High
20,female,2,rent,little,little,12,furniture/equipment,Low
48,male,2,own,moderate,little,9,repairs,Low
45,male,1,own,little,little,12,education,Low
38,male,2,own,moderate,moderate,24,car,High
70,male,3,free,little,moderate,10,car,High
33,female,2,own,little,little,18,furniture/equipment,Low
20,female,2,own,rich,moderate,11,furniture/equipment,Low
31,male,2,own,little,moderate,24,business,Low
33,male,2,rent,little,little,15,car,Low
34,female,3,own,little,moderate,24,furniture/equipment,Low
33,male,2,own,little,moderate,8,radio/TV,Low
26,male,2,own,little,little,21,education,High
42,male,2,own,little,little,12,furniture/equipment,High
52,male,2,own,quite rich,little,6,radio/TV,Low
65,male,2,own,little,little,21,car,Low
30,male,3,own,little,moderate,36,business,High
36,male,2,own,little,moderate,18,car,Low
74,female,3,free,little,moderate,9,car,High
68,male,0,free,little,moderate,16,car,Low
20,male,2,own,moderate,little,12,radio/TV,Low
33,female,2,own,little,moderate,18,furniture/equipment,High
34,male,1,free,moderate,moderate,48,business,High
